gbifID	species	country
1934871148	Anthus trivialis	Denmark
1934871176	Motacilla flava	Denmark
1934871178	Locustella naevia	Denmark
1934871180	Luscinia svecica	Denmark
1934871184	Locustella naevia	Denmark
1934871186	Poecile montanus	Denmark
1934871634	Prunella modularis	Denmark
1934871675	Linaria cannabina	Denmark
1934888041	Bucephala clangula	Denmark
1934894130	Carpodacus erythrinus	Denmark
1934894165	Passer montanus	Denmark
1934929388	Acrocephalus schoenobaenus	Denmark
1934929430	Acrocephalus palustris	Denmark
1934929472	Acrocephalus palustris	Denmark
1934929478	Acrocephalus palustris	Denmark
1934929547	Acrocephalus schoenobaenus	Denmark
1934929567	Acrocephalus palustris	Denmark
1934929588	Emberiza citrinella	Denmark
1934932600	Larus fuscus	Denmark
1934932629	Porzana porzana	Denmark
1934932643	Corvus frugilegus	Denmark
1934932645	Panurus biarmicus	Denmark
1934932646	Botaurus stellaris	Denmark
1934932670	Periparus ater	Denmark
1934932681	Turdus merula	Denmark
1934932687	Charadrius dubius	Denmark
1934932692	Crex crex	Denmark
1934932720	Sterna hirundo	Denmark
1934932728	Pyrrhula pyrrhula	Denmark
1934932729	Dendrocopos major	Denmark
1934932738	Pica pica	Denmark
1934932739	Phoenicurus ochruros	Denmark
1934932753	Acrocephalus scirpaceus	Denmark
1934932763	Caprimulgus europaeus	Denmark
1934932764	Passer montanus	Denmark
1934932768	Caprimulgus europaeus	Denmark
1934932769	Panurus biarmicus	Denmark
1934932773	Acrocephalus scirpaceus	Denmark
1934932796	Anthus pratensis	Denmark
1934932797	Anas platyrhynchos	Denmark
1934932798	Acrocephalus scirpaceus	Denmark
1934932808	Anthus pratensis	Denmark
1934932815	Cuculus canorus	Denmark
1934932817	Caprimulgus europaeus	Denmark
1934932828	Anthus trivialis	Denmark
1934932832	Acrocephalus scirpaceus	Denmark
1934932833	Acrocephalus scirpaceus	Denmark
1934932839	Aegithalos caudatus	Denmark
1934932840	Cuculus canorus	Denmark
1934932852	Cuculus canorus	Denmark
1934932857	Acanthis flammea	Denmark
1934932860	Fringilla coelebs	Denmark
1934932870	Alauda arvensis	Denmark
1934932871	Erithacus rubecula	Denmark
1934932875	Fringilla coelebs	Denmark
1934932879	Cuculus canorus	Denmark
1934932885	Dryocopus martius	Denmark
1934932887	Gallinula chloropus	Denmark
1934932890	Hirundo rustica	Denmark
1934932893	Dendrocopos major	Denmark
1934932894	Anthus trivialis	Denmark
1934932898	Erithacus rubecula	Denmark
1934932904	Luscinia luscinia	Denmark
1934932906	Dryocopus martius	Denmark
1934932908	Coloeus monedula	Denmark
1934932910	Erithacus rubecula	Denmark
1934932914	Fringilla coelebs	Denmark
1934932917	Certhia familiaris	Denmark
1934932919	Garrulus glandarius	Denmark
1934932920	Coloeus monedula	Denmark
1934932922	Ficedula hypoleuca	Denmark
1934932923	Certhia familiaris	Denmark
1934932924	Luscinia luscinia	Denmark
1934932925	Larus ridibundus	Denmark
1934932926	Erithacus rubecula	Denmark
1934932927	Ficedula hypoleuca	Denmark
1934932931	Locustella naevia	Denmark
1934932934	Emberiza schoeniclus	Denmark
1934932935	Emberiza schoeniclus	Denmark
1934932936	Cyanistes caeruleus	Denmark
1934932939	Parus major	Denmark
1934932940	Motacilla flava	Denmark
1934932943	Parus major	Denmark
1934932947	Passer montanus	Denmark
1934932950	Parus major	Denmark
1934932951	Dryocopus martius	Denmark
1934932954	Luscinia luscinia	Denmark
1934932958	Haematopus ostralegus	Denmark
1934932966	Phylloscopus collybita	Denmark
1934932967	Luscinia luscinia	Denmark
1934932969	Luscinia luscinia	Denmark
1934932972	Larus ridibundus	Denmark
1934932977	Passer domesticus	Denmark
1934932978	Setophaga striata	Denmark
1934932979	Parus major	Denmark
1934932981	Parus major	Denmark
1934932984	Phylloscopus sibillatrix	Denmark
1934932988	Passer domesticus	Denmark
1934932996	Pica pica	Denmark
1934932999	Luscinia luscinia	Denmark
1934933011	Fringilla montifringilla	Denmark
1934933015	Strix aluco	Denmark
1934933018	Rallus aquaticus	Denmark
1934933019	Phoenicurus phoenicurus	Denmark
1934933035	Sylvia atricapilla	Denmark
1934933037	Porzana porzana	Denmark
1934933039	Turdus philomelos	Denmark
1934933042	Poecile palustris	Denmark
1934933045	Poecile palustris	Denmark
1934933048	Phylloscopus trochilus	Denmark
1934933050	Linaria cannabina	Denmark
1934933051	Tadorna tadorna	Denmark
1934933055	Turdus merula	Denmark
1934933056	Tringa nebularia	Denmark
1934933058	Alauda arvensis	Denmark
1934933059	Rallus aquaticus	Denmark
1934933072	Phylloscopus sibillatrix	Denmark
1934933074	Alauda arvensis	Denmark
1934933076	Tringa nebularia	Denmark
1934933080	Saxicola rubetra	Denmark
1934933082	Poecile palustris	Denmark
1934933084	Aegithalos caudatus	Denmark
1934933085	Anas platyrhynchos	Denmark
1934933087	Turdus philomelos	Denmark
1934933089	Sylvia borin	Denmark
1934933091	Erithacus rubecula	Denmark
1934933093	Gallinago gallinago	Denmark
1934933098	Sylvia communis	Denmark
1934933099	Parus major	Denmark
1934933103	Sylvia atricapilla	Denmark
1934933104	Haematopus ostralegus	Denmark
1934933106	Sylvia borin	Denmark
1934933107	Sitta europaea	Denmark
1934933108	Sylvia curruca	Denmark
1934933110	Dendrocopos major	Denmark
1934933111	Emberiza citrinella	Denmark
1934933112	Spinus spinus	Denmark
1934933113	Certhia familiaris	Denmark
1934933115	Sterna hirundo	Denmark
1934933117	Sylvia communis	Denmark
1934933119	Anas platyrhynchos	Denmark
1934933123	Emberiza citrinella	Denmark
1934933124	Gallinago gallinago	Denmark
1934933128	Turdus merula	Denmark
1934933129	Poecile palustris	Denmark
1934933130	Sitta europaea	Denmark
1934933131	Phoenicurus phoenicurus	Denmark
1934933132	Emberiza citrinella	Denmark
1934933134	Certhia familiaris	Denmark
1934933135	Parus major	Denmark
1934933141	Certhia familiaris	Denmark
1934933142	Delichon urbicum	Denmark
1934933143	Cyanistes caeruleus	Denmark
1934933144	Emberiza citrinella	Denmark
1934933146	Turdus merula	Denmark
1934933147	Oriolus oriolus	Denmark
1934933149	Periparus ater	Denmark
1934933152	Chloris chloris	Denmark
1934933154	Parus major	Denmark
1934933155	Sturnus vulgaris	Denmark
1934933157	Cyanistes caeruleus	Denmark
1934933158	Alauda arvensis	Denmark
1934933159	Phylloscopus collybita	Denmark
1934933160	Turdus merula	Denmark
1934933162	Parus major	Denmark
1934933164	Passer montanus	Denmark
1934933165	Sitta europaea	Denmark
1934933166	Emberiza citrinella	Denmark
1934933167	Linaria cannabina	Denmark
1934933168	Sylvia atricapilla	Denmark
1934933169	Regulus regulus	Denmark
1934933170	Certhia familiaris	Denmark
1934933171	Prunella modularis	Denmark
1934933172	Poecile palustris	Denmark
1934933173	Sylvia atricapilla	Denmark
1934933174	Hippolais icterina	Denmark
1934933175	Emberiza citrinella	Denmark
1934933177	Emberiza citrinella	Denmark
1934933178	Cyanistes caeruleus	Denmark
1934933181	Turdus merula	Denmark
1934933182	Strix aluco	Denmark
1934933183	Carduelis carduelis	Denmark
1934933184	Larus ridibundus	Denmark
1934933185	Remiz pendulinus	Denmark
1934933186	Certhia brachydactyla	Denmark
1934933190	Sylvia communis	Denmark
1934933191	Sitta europaea	Denmark
1934933192	Turdus pilaris	Denmark
1934933193	Poecile palustris	Denmark
1934933194	Anas crecca	Denmark
1934933197	Calidris alpina	Denmark
1934933198	Anser anser	Denmark
1934933200	Hippolais icterina	Denmark
1934933201	Luscinia luscinia	Denmark
1934933202	Tringa glareola	Denmark
1934933205	Cyanistes caeruleus	Denmark
1934933207	Parus major	Denmark
1934933209	Carduelis carduelis	Denmark
1934933210	Branta leucopsis	Denmark
1934933211	Motacilla flava	Denmark
1934933212	Certhia familiaris	Denmark
1934933213	Calidris alpina	Denmark
1934933214	Panurus biarmicus	Denmark
1934933216	Passer montanus	Denmark
1934933218	Haematopus ostralegus	Denmark
1934933222	Fringilla coelebs	Denmark
1934933227	Charadrius dubius	Denmark
1934933228	Luscinia luscinia	Denmark
1934933230	Emberiza citrinella	Denmark
1934933234	Luscinia luscinia	Denmark
1934933237	Asio otus	Denmark
1934933238	Fulica atra	Denmark
1934933239	Turdus merula	Denmark
1934933241	Strix aluco	Denmark
1934933244	Coloeus monedula	Denmark
1934933246	Prunella modularis	Denmark
1934933247	Pyrrhula pyrrhula	Denmark
1934933249	Lullula arborea	Denmark
1934933250	Strix aluco	Denmark
1934933251	Fulica atra	Denmark
1934933254	Prunella modularis	Denmark
1934933257	Tringa ochropus	Denmark
1934933263	Vanellus vanellus	Denmark
1934933264	Pluvialis apricaria	Denmark
1934933265	Prunella modularis	Denmark
1934933266	Certhia brachydactyla	Denmark
1934933267	Fringilla coelebs	Denmark
1934933272	Fulica atra	Denmark
1934933285	Columba palumbus	Denmark
1934933286	Garrulus glandarius	Denmark
1934933297	Phoenicurus ochruros	Denmark
1934933308	Acrocephalus scirpaceus	Denmark
1934933310	Fringilla coelebs	Denmark
1934933316	Pyrrhula pyrrhula	Denmark
1934933332	Emberiza schoeniclus	Denmark
1934933333	Sylvia borin	Denmark
1934933391	Poecile palustris	Denmark
1934933485	Hippolais icterina	Denmark
1934933507	Hippolais icterina	Denmark
1934933529	Sylvia atricapilla	Denmark
1934933588	Strix aluco	Denmark
1934933620	Cuculus canorus	Denmark
1934933648	Sylvia borin	Denmark
1934933684	Sitta europaea	Denmark
1934957662	Sturnus vulgaris	Denmark
1934957680	Sturnus vulgaris	Denmark
1934957712	Delichon urbicum	Denmark
1934959542	Locustella naevia	Denmark
1934959900	Branta leucopsis	Denmark
1934960775	Loxia curvirostra	Denmark
1934961041	Turdus merula	Denmark
1934972601	Botaurus stellaris	Denmark
1934973697	Turdus merula	Denmark
1934976339	Garrulus glandarius	Denmark
1934977799	Passer domesticus	Denmark
1934984553	Emberiza calandra	Denmark
1934984554	Branta leucopsis	Denmark
1934984797	Motacilla flava	Denmark
1934984804	Lanius collurio	Denmark
1934985996	Emberiza calandra	Denmark
1934985997	Emberiza calandra	Denmark
1934985998	Motacilla alba	Denmark
1934986000	Charadrius dubius	Denmark
1934986559	Turdus philomelos	Denmark
1934988330	Acrocephalus scirpaceus	Denmark
1934988348	Cygnus olor	Denmark
1934993954	Luscinia luscinia	Denmark
1934994354	Cuculus canorus	Denmark
1934994467	Sylvia borin	Denmark
1934994510	Sylvia atricapilla	Denmark
1934994522	Acrocephalus palustris	Denmark
1934994542	Acrocephalus palustris	Denmark
1934994547	Luscinia luscinia	Denmark
1934994569	Acrocephalus schoenobaenus	Denmark
1934994578	Locustella naevia	Denmark
1934994734	Asio otus	Denmark
1934994790	Asio otus	Denmark
1934997095	Erithacus rubecula	Denmark
1934999595	Strix aluco	Denmark
1934999780	Parus major	Denmark
1934999797	Erithacus rubecula	Denmark
1934999816	Turdus merula	Denmark
1934999874	Certhia familiaris	Denmark
1934999885	Sitta europaea	Denmark
1935000251	Sylvia borin	Denmark
1935000267	Sylvia borin	Denmark
1935000268	Acrocephalus arundinaceus	Denmark
1935000279	Cuculus canorus	Denmark
1935000297	Sylvia communis	Denmark
1935000327	Ficedula hypoleuca	Denmark
1935000503	Turdus pilaris	Denmark
1935000505	Carduelis carduelis	Denmark
